name,prompt,negative_prompt
No_Style,,
tops_blazer_1,"A fashionable oversized blazer in light khaki color, designed with a relaxed fit. It features double-breasted buttons for a sophisticated look, long sleeves, and wide lapels. The blazer's boxy structure and minimalistic design create a modern, chic vibe. Suitable for a casual yet elegant appearance, with fabric that drapes comfortably over the shoulders and torso.","Avoid a tight-fitting, structured blazer with a narrow silhouette or bold, vibrant colors. No flashy buttons, intricate patterns, or exaggerated details like shoulder pads or asymmetrical cuts. (worst quality, low quality, lowres, low details, oversaturated, undersaturated, overexposed, underexposed, grayscale, bw, bad photo, bad photography, bad art:1.4), (watermark, signature, text font, username, error, logo, words, letters, digits, autograph, trademark, name:1.2), (blur, blurry, grainy), morbid, ugly, asymmetrical, mutated malformed, mutilated, poorly lit, bad shadow, draft, cropped, out of frame, cut off, censored, jpeg artifacts, out of focus, glitsch, duplicate, (airbrushed, cartoon, anime, semi-realistic, cgi, render, blender, digital art, manga, amateur:1.3), (3D, 3D Game, 3D Game Scene, 3D Character:1.1), acne"
tops_blazer_2,"A cropped black blazer, perfect for formal settings. It has a tailored fit that enhances the waistline and a minimalist design without embellishments. The blazer includes a structured collar, sharp lapels, and long sleeves, offering a sleek and modern appearance. Ideal for professional and elegant outfits.","Do not include a boxy, oversized design or casual fabric textures. Avoid unnecessary decorations, bright colors, or non-tailored cuts that distract from the sleek, sophisticated aesthetic. (worst quality, low quality, lowres, low details, oversaturated, undersaturated, overexposed, underexposed, grayscale, bw, bad photo, bad photography, bad art:1.4), (watermark, signature, text font, username, error, logo, words, letters, digits, autograph, trademark, name:1.2), (blur, blurry, grainy), morbid, ugly, asymmetrical, mutated malformed, mutilated, poorly lit, bad shadow, draft, cropped, out of frame, cut off, censored, jpeg artifacts, out of focus, glitsch, duplicate, (airbrushed, cartoon, anime, semi-realistic, cgi, render, blender, digital art, manga, amateur:1.3), (3D, 3D Game, 3D Game Scene, 3D Character:1.1), acne"
tops_blazer_3,"A chic dark gray cardigan-style blazer with gold button detailing on the front. It exudes classic elegance, combining a soft, fitted silhouette with a slightly cropped length. The round neckline and subtle texture give it a timeless vintage feel. The gold buttons add a luxurious and refined touch to the design.","Avoid heavy textures, large logos, or extravagant patterns. Do not include bold colors, bulky shapes, or modern, overly casual designs. No zipper closures or loose, unstructured fits that detract from the polished appearance. (worst quality, low quality, lowres, low details, oversaturated, undersaturated, overexposed, underexposed, grayscale, bw, bad photo, bad photography, bad art:1.4), (watermark, signature, text font, username, error, logo, words, letters, digits, autograph, trademark, name:1.2), (blur, blurry, grainy), morbid, ugly, asymmetrical, mutated malformed, mutilated, poorly lit, bad shadow, draft, cropped, out of frame, cut off, censored, jpeg artifacts, out of focus, glitsch, duplicate, (airbrushed, cartoon, anime, semi-realistic, cgi, render, blender, digital art, manga, amateur:1.3), (3D, 3D Game, 3D Game Scene, 3D Character:1.1), acne"
tops_blazer_4,"A classic black tailored blazer, exuding professionalism and elegance. It has a fitted cut with a single button closure, enhancing the wearer's shape. The blazer features sharp lapels, padded shoulders, and a smooth finish, ideal for formal occasions or corporate settings. The long sleeves and structured fit emphasize a sleek, polished look.","Avoid loose or oversized cuts, casual materials, or bright, contrasting colors. No large embellishments, patterns, or asymmetrical designs. Exclude unstructured, informal styles that would reduce the sharp, professional appeal. (worst quality, low quality, lowres, low details, oversaturated, undersaturated, overexposed, underexposed, grayscale, bw, bad photo, bad photography, bad art:1.4), (watermark, signature, text font, username, error, logo, words, letters, digits, autograph, trademark, name:1.2), (blur, blurry, grainy), morbid, ugly, asymmetrical, mutated malformed, mutilated, poorly lit, bad shadow, draft, cropped, out of frame, cut off, censored, jpeg artifacts, out of focus, glitsch, duplicate, (airbrushed, cartoon, anime, semi-realistic, cgi, render, blender, digital art, manga, amateur:1.3), (3D, 3D Game, 3D Game Scene, 3D Character:1.1), acne"
tops_dress_1,"An elegant sleeveless black dress with a shoulder-length cream-colored blouse insert. The blouse has a delicate bow tie detail at the neck, paired with accent sleeves tied with an elegant bow. The dress itself is tailored and knee-length, perfect for a formal or professional setting. The contrasting colors create a subtle and sparkling look, with the ribbon adding a feminine touch.","Avoid overly casual or loose-fitting styles, bright or clashing colors, and excessive embellishments. No modern prints or patterns, oversized sleeves, or asymmetrical designs that reduce the formal elegance of the dress. (worst quality, low quality, lowres, low details, oversaturated, undersaturated, overexposed, underexposed, grayscale, bw, bad photo, bad photography, bad art:1.4), (watermark, signature, text font, username, error, logo, words, letters, digits, autograph, trademark, name:1.2), (blur, blurry, grainy), morbid, ugly, asymmetrical, mutated malformed, mutilated, poorly lit, bad shadow, draft, cropped, out of frame, cut off, censored, jpeg artifacts, out of focus, glitsch, duplicate, (airbrushed, cartoon, anime, semi-realistic, cgi, render, blender, digital art, manga, amateur:1.3), (3D, 3D Game, 3D Game Scene, 3D Character:1.1), acne"
tops_dress_2,"A vibrant red, knee-length dress with short sleeves and a structured silhouette. The design features a high neckline with subtle pleats and a small bow at the waist, emphasizing a classic and timeless style. The clean lines and minimal detailing make this dress suitable for both professional and semi-formal occasions.","Avoid casual fabrics, floral patterns, or overly flowy cuts. No bright patterns or bold accessories that overwhelm the simplicity of the dress. Exclude sleeveless or strapless designs and avoid overly informal or whimsical elements. (worst quality, low quality, lowres, low details, oversaturated, undersaturated, overexposed, underexposed, grayscale, bw, bad photo, bad photography, bad art:1.4), (watermark, signature, text font, username, error, logo, words, letters, digits, autograph, trademark, name:1.2), (blur, blurry, grainy), morbid, ugly, asymmetrical, mutated malformed, mutilated, poorly lit, bad shadow, draft, cropped, out of frame, cut off, censored, jpeg artifacts, out of focus, glitsch, duplicate, (airbrushed, cartoon, anime, semi-realistic, cgi, render, blender, digital art, manga, amateur:1.3), (3D, 3D Game, 3D Game Scene, 3D Character:1.1), acne"
tops_dress_3,"A romantic white, full-length dress with a flowing silhouette and delicate puff sleeves. The fitted bodice and gathered waistline give it an ethereal, vintage-inspired charm, reminiscent of a Regency or cottagecore style. The dress has a lightweight fabric with subtle texture, creating an elegant and airy aesthetic, ideal for formal outdoor events or summer occasions.","Avoid short, tight-fitting, or modern styles that detract from the vintage appeal. No heavy fabrics, bold patterns, or bright colors. Exclude asymmetrical designs, sharp cuts, or exaggerated details that would disrupt the soft, graceful flow of the dress. (worst quality, low quality, lowres, low details, oversaturated, undersaturated, overexposed, underexposed, grayscale, bw, bad photo, bad photography, bad art:1.4), (watermark, signature, text font, username, error, logo, words, letters, digits, autograph, trademark, name:1.2), (blur, blurry, grainy), morbid, ugly, asymmetrical, mutated malformed, mutilated, poorly lit, bad shadow, draft, cropped, out of frame, cut off, censored, jpeg artifacts, out of focus, glitsch, duplicate, (airbrushed, cartoon, anime, semi-realistic, cgi, render, blender, digital art, manga, amateur:1.3), (3D, 3D Game, 3D Game Scene, 3D Character:1.1), acne"
tops_jacket_1,"A stylish grey wool jacket with a cropped length, designed for a modern, chic look. It features large patch pockets on the front, a structured collar, and long sleeves, offering both functionality and fashion. The fabric has a textured, cozy feel, making it perfect for cool weather while maintaining a trendy, minimalist aesthetic.","Avoid bright, flashy colors or over-the-top embellishments. No oversized or long designs, intricate patterns, or casual, sporty elements that would take away from the jacket’s clean, sophisticated look. (worst quality, low quality, lowres, low details, oversaturated, undersaturated, overexposed, underexposed, grayscale, bw, bad photo, bad photography, bad art:1.4), (watermark, signature, text font, username, error, logo, words, letters, digits, autograph, trademark, name:1.2), (blur, blurry, grainy), morbid, ugly, asymmetrical, mutated malformed, mutilated, poorly lit, bad shadow, draft, cropped, out of frame, cut off, censored, jpeg artifacts, out of focus, glitsch, duplicate, (airbrushed, cartoon, anime, semi-realistic, cgi, render, blender, digital art, manga, amateur:1.3), (3D, 3D Game, 3D Game Scene, 3D Character:1.1), acne"
tops_jacket_2,"A bold black and cream oversized shearling jacket with a contemporary design. The jacket features a thick, cozy cream inner lining that extends to the collar and cuffs, contrasted with smooth black leather on the outside. Its open-front style gives a casual, laid-back vibe while maintaining warmth and luxury, perfect for winter fashion.","Avoid lightweight fabrics or cropped designs. No slim or tailored fits, bright neon colors, or sporty details that detract from the cozy, oversized winter jacket style. Exclude thin, unlined materials. (worst quality, low quality, lowres, low details, oversaturated, undersaturated, overexposed, underexposed, grayscale, bw, bad photo, bad photography, bad art:1.4), (watermark, signature, text font, username, error, logo, words, letters, digits, autograph, trademark, name:1.2), (blur, blurry, grainy), morbid, ugly, asymmetrical, mutated malformed, mutilated, poorly lit, bad shadow, draft, cropped, out of frame, cut off, censored, jpeg artifacts, out of focus, glitsch, duplicate, (airbrushed, cartoon, anime, semi-realistic, cgi, render, blender, digital art, manga, amateur:1.3), (3D, 3D Game, 3D Game Scene, 3D Character:1.1), acne"
